,acis min,acis max,acis mean,tsk min,tsk max,tsk mean,t2 min,t2 max,t2 mean,MOD11A2,MYD11A2
2/18/2000,,,,-24.04461557,-6.59176443,-15.62488243,-16.92889854,-5.618554848,-11.57172322,-17.57492167,
2/26/2000,,,,-25.03337025,-7.791204834,-15.4618246,-18.7982548,-5.981656205,-12.11782724,-10.23669803,
3/5/2000,,,,-22.22348914,-9.329469058,-15.48463528,-18.55457916,-7.722570801,-12.44553624,-8.548928191,
3/13/2000,,,,-17.79292225,-6.304961837,-10.91633413,-11.69463758,-5.014024915,-8.620768176,-5.777086439,
3/21/2000,,,,-27.80462454,-3.082487086,-11.20941933,-20.48234887,-1.97279647,-9.202710282,-7.831504099,
3/29/2000,,,,-18.8497504,-2.45080454,-11.01939199,-15.58245295,-1.4554143,-8.058600657,-2.264868164,
4/6/2000,,,,-20.41739462,-1.409394595,-12.34382758,-17.7957118,-0.689762798,-9.493146876,-1.296530954,
4/14/2000,,,,-11.98978954,0.628078581,-5.443308459,-10.02023042,2.273327797,-3.412394955,-0.093614759,
4/22/2000,,,,-5.750088019,5.798063098,-1.00819927,-1.916702752,5.145895225,1.152815488,5.733377878,
4/30/2000,,,,-4.124395752,10.18046923,1.943118768,-3.25897265,8.862185348,3.895838205,11.04494227,
5/8/2000,,,,-5.100959858,8.927352423,1.430327084,-5.071042994,7.836630088,1.693418322,9.870959151,
5/16/2000,,,,0.370525481,14.55618158,6.072827309,1.901015753,12.35925807,6.804437256,11.53653546,
5/24/2000,,,,-0.729855668,13.88297103,5.622791812,2.628341193,12.0476214,6.362833445,11.4173193,
6/1/2000,,,,2.665294768,21.44788995,11.1888696,7.210053615,19.00422942,12.04438814,20.18786734,
6/9/2000,,,,7.642158428,21.1573875,12.32031443,10.68590216,18.46747983,13.57031925,22.58680677,
6/17/2000,,,,5.2849044,23.71820663,11.52969714,8.290449765,21.24631171,12.91137968,22.54654766,
6/25/2000,,,,6.242772474,20.63041559,13.48305022,11.43600014,20.49255564,15.12079452,22.39722836,
7/3/2000,,,,9.394549239,22.97231927,14.9855647,12.19401743,20.51702351,15.96778099,22.25928007,
7/11/2000,,,,8.139525082,18.82472823,12.17201104,8.806980655,17.82611598,12.74926067,19.64015631,
7/19/2000,,,,4.866841688,17.73965968,10.99757417,7.871193655,15.59572272,11.90878167,17.55444743,
7/27/2000,,,,4.14789252,17.79599272,10.09332388,5.459028866,16.46725817,11.46067762,19.79018314,
8/4/2000,,,,2.760867791,17.72648974,8.548161878,6.55528452,15.78419928,9.886035638,,
8/12/2000,,,,-0.07515564,13.74381971,7.228765709,1.714037765,14.08475486,8.109103875,9.907617188,
