,snotel min,snotel max,snotel mean,tsk min,tsk max,tsk mean,t2 min,t2 max,t2 mean,MOD11A2,MYD11A2
2/18/2000,-15.53619048,-3.738571429,-11.12380952,-22.75850961,-9.146355329,-15.53786534,-18.45438014,-8.434855434,-13.15504412,-14.22381548,
2/26/2000,-15.63961905,-3.114761905,-10.87580952,-23.90896127,-8.370118931,-15.86859741,-20.26769976,-6.783993966,-13.44876709,-10.20471366,
3/5/2000,-16.76038095,-4.580857143,-12.13657143,-24.08010603,-11.00825457,-17.28105338,-22.19052952,-9.068810163,-14.99351894,-10.5798924,
3/13/2000,-12.60416667,0.191309524,-7.512380952,-16.13959787,-7.629771205,-11.83612671,-13.4768607,-7.106887381,-10.44630389,-6.599829102,
3/21/2000,-14.01011905,-0.108928571,-7.410714286,-24.42651978,-4.230304827,-10.78315255,-20.55980748,-3.726014927,-9.765430559,-8.675425502,
3/29/2000,-13.10285714,0.74,-6.565357143,-21.3292014,-3.749347796,-12.21473214,-19.7130624,-2.850509208,-9.944629778,-5.544339425,
4/6/2000,-14.34857143,1.020952381,-7.069047619,-22.93229196,-2.995646449,-14.64939401,-21.11705845,-2.314642334,-12.16965332,-4.045193917,
4/14/2000,-7.449107143,2.122767857,-2.486607143,-15.30048436,0.075315639,-7.045956857,-13.02965611,1.173115758,-5.442580741,-2.954120745,
4/22/2000,-3.733690476,8.873452381,2.272380952,-7.984485735,3.292722866,-2.448374721,-4.222745187,2.881786237,-0.747542899,2.658445522,
4/30/2000,-4.153095238,10.70107143,3.45797619,-4.887365723,8.748838588,0.557924979,-3.811895752,7.405803571,1.974825614,5.781723458,
5/8/2000,-4.035416667,5.227083333,1.028125,-7.823060826,7.301446533,-0.494717843,-8.150959124,6.034456961,-0.692279925,4.83336356,
5/16/2000,0.813333333,11.27047619,6.122380952,-0.91700701,12.23066755,4.341503034,0.21882237,9.822508022,4.754527937,8.482130941,
5/24/2000,0.839880952,10.47738095,5.877380952,-1.617324393,11.97050084,3.89272025,1.039413888,10.23710676,4.407381766,7.1712382,
6/1/2000,7.496428571,20.22488095,14.47738095,2.060954939,19.79898333,9.320328195,5.48079834,17.36371983,9.864299665,19.30553589,
6/9/2000,7.498571429,19.77571429,13.74857143,5.796406773,19.34441092,10.6466483,8.214719936,16.57461373,11.48676235,20.16449672,
6/17/2000,6.392261905,21.33071429,14.64714286,3.727153669,21.98904245,9.527930559,5.679376221,19.21525617,10.78811471,20.82406442,
6/25/2000,7.988428571,20.15328571,14.58871429,4.307310268,19.42891846,11.86191057,9.47814767,18.44739903,13.14503523,22.78220738,
7/3/2000,10.08666667,20.93416667,15.21666667,7.049898856,22.07228568,13.29386074,9.751702881,19.33154558,14.08182896,21.62515956,
7/11/2000,6.28,17.67533333,11.96933333,5.451893834,17.59575806,10.37647182,5.669008963,15.8313494,10.56633039,18.40908639,
7/19/2000,3.021230159,13.88392857,8.55952381,4.041092355,17.06943883,9.629227121,5.913977923,14.77855399,10.2524571,14.51368103,
7/27/2000,5.833214286,20.90321429,13.94934524,2.350527518,16.71046491,9.033816092,4.654321289,15.42809448,10.19269932,18.65820574,
8/4/2000,3.885416667,11.45803571,7.995238095,1.577273124,16.58194667,7.455098179,5.09118042,13.95066877,8.12960641,,
8/12/2000,2.211369048,9.525079365,6.132440476,-1.726211112,12.03403408,5.636307199,-0.222444371,12.07487095,6.131947545,,
8/20/2000,1.0875,9.060813492,5.109821429,-0.691124616,9.110375977,3.458568464,0.766316441,7.658746338,4.086554827,11.40556379,
8/28/2000,1.11875,12.84166667,6.770833333,-0.577651542,8.728387451,4.58223441,1.76028268,8.618201556,5.530140904,12.07164481,
9/5/2000,0.54375,7.275694444,3.678055556,-0.73518328,5.642672294,2.784243338,0.762950788,5.72336513,3.228954206,8.008878871,
9/13/2000,-3.641071429,7.358630952,-0.097619048,-5.168227713,3.691949463,-0.426790074,-3.651094273,4.006175886,0.824522182,4.917901611,
9/21/2000,-0.646607143,5.179880952,1.89125,-5.312384033,7.165002441,1.360524205,-5.645932443,7.980911691,1.718565151,1.917103795,
9/29/2000,-6.469047619,0.1,-3.397619048,-11.25369001,-0.362947301,-6.07616054,-8.111264474,-0.027323696,-5.139061628,-3.428124128,
10/7/2000,-7.309119048,-2.193690476,-5.242547619,-12.057741,-1.751274763,-6.778727504,-10.97404,-1.182400949,-5.916863142,-4.236107527,
10/15/2000,-13.2975,-7.5275,-10.545,-10.37660174,-0.71665475,-6.124439348,-9.966877093,-0.30145874,-5.510682896,-5.481503732,
10/23/2000,-18.37357143,-10.47202381,-14.83904762,-15.71507002,-2.461074393,-9.174422782,-13.59153704,-1.987188721,-8.598002407,-12.8618988,
10/31/2000,-21.17071429,-14.61357143,-18.08892857,-19.83455505,-9.646891567,-14.29896066,-18.25593305,-9.640378244,-13.55785435,-15.64161421,
